2024-11-19 11:14:24 | INF | Porcentaje de batería: 100.0% | Estado: High | Hora: 11:14:23 | Carga: 1.6167410612106323% | Memoria: 2767MB | Battery %: 100.0 | Status:  | 
2024-11-19 11:14:34 | INF | Porcentaje de batería: 100.0% | Estado: High | Hora: 11:14:33 | Carga: 0.43899551033973694% | Memoria: 2761MB | Battery %: 100.0 | Status:  | 
2024-11-19 11:14:44 | INF | Porcentaje de batería: 100.0% | Estado: High | Hora: 11:14:43 | Carga: 0.71000611782073975% | Memoria: 2761MB | Battery %: 100.0 | Status:  | 
2024-11-19 11:14:54 | INF | Porcentaje de batería: 100.0% | Estado: High | Hora: 11:14:53 | Carga: 0% | Memoria: 2762MB | Battery %: 100.0 | Status:  | 
2024-11-19 11:15:04 | INF | Porcentaje de batería: 100.0% | Estado: High | Hora: 11:15:03 | Carga: 0.48777905106544495% | Memoria: 2760MB | Battery %: 100.0 | Status:  | 
2024-11-19 11:15:14 | INF | Porcentaje de batería: 100.0% | Estado: High | Hora: 11:15:13 | Carga: 0.30968794226646423% | Memoria: 2759MB | Battery %: 100.0 | Status:  | 
2024-11-19 11:15:24 | INF | Porcentaje de batería: 100.0% | Estado: High | Hora: 11:15:23 | Carga: 0.946413516998291% | Memoria: 2764MB | Battery %: 100.0 | Status:  | 
2024-11-19 11:15:34 | INF | Porcentaje de batería: 100.0% | Estado: High | Hora: 11:15:33 | Carga: 0.56752556562423706% | Memoria: 2766MB | Battery %: 100.0 | Status:  | 
2024-11-19 11:15:44 | INF | Porcentaje de batería: 100.0% | Estado: High | Hora: 11:15:43 | Carga: 0% | Memoria: 2757MB | Battery %: 100.0 | Status:  | 
2024-11-19 11:15:54 | INF | Porcentaje de batería: 100.0% | Estado: High | Hora: 11:15:53 | Carga: 0% | Memoria: 2759MB | Battery %: 100.0 | Status:  | 
2024-11-19 11:16:04 | INF | Porcentaje de batería: 100.0% | Estado: High | Hora: 11:16:03 | Carga: 0.68373441696166992% | Memoria: 2758MB | Battery %: 100.0 | Status:  | 
2024-11-19 11:16:14 | INF | Porcentaje de batería: 100.0% | Estado: High | Hora: 11:16:13 | Carga: 0% | Memoria: 2751MB | Battery %: 100.0 | Status:  | 
2024-11-19 11:16:24 | INF | Porcentaje de batería: 100.0% | Estado: High | Hora: 11:16:23 | Carga: 1.3941487073898315% | Memoria: 2750MB | Battery %: 100.0 | Status:  | 
2024-11-19 11:16:34 | INF | Porcentaje de batería: 100.0% | Estado: High | Hora: 11:16:33 | Carga: 0.61322635412216187% | Memoria: 2743MB | Battery %: 100.0 | Status:  | 
2024-11-19 11:16:44 | INF | Porcentaje de batería: 100.0% | Estado: High | Hora: 11:16:43 | Carga: 0% | Memoria: 2740MB | Battery %: 100.0 | Status:  | 
2024-11-19 11:16:54 | INF | Porcentaje de batería: 100.0% | Estado: High | Hora: 11:16:53 | Carga: 0.97836345434188843% | Memoria: 2740MB | Battery %: 100.0 | Status:  | 
2024-11-19 11:17:04 | INF | Porcentaje de batería: 100.0% | Estado: High | Hora: 11:17:03 | Carga: 0% | Memoria: 2710MB | Battery %: 100.0 | Status:  | 
2024-11-19 11:17:14 | INF | Porcentaje de batería: 100.0% | Estado: High | Hora: 11:17:13 | Carga: 0.90504789352416992% | Memoria: 2729MB | Battery %: 100.0 | Status:  | 
2024-11-19 11:17:24 | INF | Porcentaje de batería: 100.0% | Estado: High | Hora: 11:17:23 | Carga: 0.87852573394775391% | Memoria: 2734MB | Battery %: 100.0 | Status:  | 
2024-11-19 11:17:34 | INF | Porcentaje de batería: 100.0% | Estado: High | Hora: 11:17:33 | Carga: 0% | Memoria: 2734MB | Battery %: 100.0 | Status:  | 
2024-11-19 11:17:44 | INF | Porcentaje de batería: 100.0% | Estado: High | Hora: 11:17:43 | Carga: 0.40817707777023315% | Memoria: 2743MB | Battery %: 100.0 | Status:  | 
2024-11-19 11:17:54 | INF | Porcentaje de batería: 100.0% | Estado: High | Hora: 11:17:53 | Carga: 3.3871781826019287% | Memoria: 2736MB | Battery %: 100.0 | Status:  | 
2024-11-19 11:18:04 | INF | Porcentaje de batería: 100.0% | Estado: High | Hora: 11:18:03 | Carga: 1.8172352313995361% | Memoria: 2741MB | Battery %: 100.0 | Status:  | 
2024-11-19 11:18:14 | INF | Porcentaje de batería: 100.0% | Estado: High | Hora: 11:18:13 | Carga: 0.33981937170028687% | Memoria: 2737MB | Battery %: 100.0 | Status:  | 
2024-11-19 11:18:24 | INF | Porcentaje de batería: 100.0% | Estado: High | Hora: 11:18:23 | Carga: 0.89501333236694336% | Memoria: 2740MB | Battery %: 100.0 | Status:  | 
2024-11-19 11:18:34 | INF | Porcentaje de batería: 100.0% | Estado: High | Hora: 11:18:33 | Carga: 2.3799619674682617% | Memoria: 2740MB | Battery %: 100.0 | Status:  | 
2024-11-19 11:18:44 | INF | Porcentaje de batería: 100.0% | Estado: High | Hora: 11:18:43 | Carga: 3.635894775390625% | Memoria: 2706MB | Battery %: 100.0 | Status:  | 
2024-11-19 11:18:54 | INF | Porcentaje de batería: 100.0% | Estado: High | Hora: 11:18:53 | Carga: 0.40609496831893921% | Memoria: 2684MB | Battery %: 100.0 | Status:  | 
2024-11-19 11:19:04 | INF | Porcentaje de batería: 100.0% | Estado: High | Hora: 11:19:03 | Carga: 2.1717779636383057% | Memoria: 2690MB | Battery %: 100.0 | Status:  | 
2024-11-19 11:19:14 | INF | Porcentaje de batería: 100.0% | Estado: High | Hora: 11:19:13 | Carga: 2.2088100910186768% | Memoria: 2695MB | Battery %: 100.0 | Status:  | 
2024-11-19 11:19:24 | INF | Porcentaje de batería: 100.0% | Estado: High | Hora: 11:19:23 | Carga: 0% | Memoria: 2722MB | Battery %: 100.0 | Status:  | 
2024-11-19 11:19:34 | INF | Porcentaje de batería: 100.0% | Estado: High | Hora: 11:19:33 | Carga: 0% | Memoria: 2731MB | Battery %: 100.0 | Status:  | 
